person,condition,trial,id,item_class,x,y,rt,trial_p
1,conj_grid,1,43,1,-321,330,1.59,1
1,conj_grid,1,45,1,-139,307,2.74,1
1,conj_grid,1,37,1,-205,194,3.55,1
1,conj_grid,1,38,1,-113,198,4.24,1
1,conj_grid,1,40,1,111,216,5.17,1
1,conj_grid,1,47,1,109,306,6,1
1,conj_grid,1,30,1,-196,138,6.97,1
1,conj_grid,1,32,1,2,97,7.9,1
1,conj_grid,1,33,1,111,92,8.57,1
1,conj_grid,1,28,1,312,8,9.65,1
1,conj_grid,1,15,1,-313,-114,10.58,1
1,conj_grid,1,10,1,-98,-183,11.57,1
1,conj_grid,1,29,2,-305,120,14.05,1
1,conj_grid,1,24,2,-107,-25,15.73,1
1,conj_grid,1,25,2,-13,29,16.53,1
1,conj_grid,1,27,2,218,-5,17.75,1
1,conj_grid,1,16,2,-190,-120,18.77,1
1,conj_grid,1,9,2,-206,-210,19.45,1
1,conj_grid,1,19,2,112,-114,20.23,1
1,conj_grid,1,12,2,120,-203,21.17,1
1,conj_grid,1,7,2,309,-327,22.36,1
1,conj_grid,1,5,2,107,-317,23.13,1
1,conj_grid,1,2,2,-227,-318,24.08,1
1,conj_grid,1,1,2,-337,-286,24.95,1
1,conj_grid,2,44,1,-201,338,2.07,2
1,conj_grid,2,49,1,287,295,3.44,2
1,conj_grid,2,36,1,-323,210,4.57,2
1,conj_grid,2,30,1,-240,106,6.42,2
1,conj_grid,2,33,1,124,86,7.38,2
1,conj_grid,2,28,1,337,17,8.1,2
1,conj_grid,2,16,1,-235,-89,9.35,2
1,conj_grid,2,17,1,-122,-128,9.95,2
1,conj_grid,2,14,1,321,-200,11.18,2
1,conj_grid,2,4,1,-42,-343,12.11,2
1,conj_grid,2,6,1,184,-348,12.85,2
1,conj_grid,2,7,1,310,-336,13.6,2
1,conj_grid,2,45,2,-74,313,14.83,2
1,conj_grid,2,39,2,-12,244,15.45,2
1,conj_grid,2,29,2,-346,134,16.26,2
1,conj_grid,2,32,2,35,90,17.2,2
1,conj_grid,2,24,2,-96,-17,18.58,2
1,conj_grid,2,25,2,4,-25,19.28,2
1,conj_grid,2,18,2,13,-113,19.9,2
1,conj_grid,2,9,2,-203,-241,21,2
1,conj_grid,2,8,2,-315,-221,21.6,2
1,conj_grid,2,1,2,-312,-335,22.43,2
1,conj_grid,2,2,2,-221,-319,23.05,2
1,conj_grid,2,3,2,-120,-349,24.3,2
1,conj_grid,3,48,1,241,344,1.87,3
1,conj_grid,3,29,1,-318,87,2.75,3
1,conj_grid,3,33,1,107,119,3.79,3
