person,condition,trial,id,found,item_class,x,y,trial_p
1,conj_grid,1,22,1,1,0.017,0.68,1
1,conj_grid,1,23,2,1,0.205,0.656,1
1,conj_grid,1,19,3,1,0.137,0.539,1
1,conj_grid,1,20,4,1,0.232,0.543,1
1,conj_grid,1,21,5,1,0.464,0.562,1
1,conj_grid,1,24,6,1,0.462,0.655,1
1,conj_grid,1,16,7,1,0.146,0.481,1
1,conj_grid,1,17,8,1,0.351,0.439,1
1,conj_grid,1,18,9,1,0.464,0.434,1
1,conj_grid,1,14,10,1,0.672,0.347,1
1,conj_grid,1,8,11,1,0.025,0.22,1
1,conj_grid,1,6,12,1,0.247,0.149,1
1,conj_grid,1,15,13,2,0.033,0.463,1
1,conj_grid,1,11,14,2,0.238,0.313,1
1,conj_grid,1,12,15,2,0.335,0.369,1
1,conj_grid,1,13,16,2,0.575,0.333,1
1,conj_grid,1,9,17,2,0.152,0.214,1
1,conj_grid,1,5,18,2,0.136,0.121,1
1,conj_grid,1,10,19,2,0.465,0.22,1
1,conj_grid,1,7,20,2,0.473,0.128,1
1,conj_grid,1,4,21,2,0.669,0,1
1,conj_grid,1,3,22,2,0.46,0.01,1
1,conj_grid,1,2,23,2,0.114,0.009,1
1,conj_grid,1,1,24,2,0,0.042,1
1,conj_grid,2,22,1,1,0.15,0.711,2
1,conj_grid,2,24,2,1,0.655,0.667,2
1,conj_grid,2,20,3,1,0.024,0.579,2
1,conj_grid,2,17,4,1,0.11,0.471,2
1,conj_grid,2,19,5,1,0.487,0.45,2
1,conj_grid,2,15,6,1,0.707,0.379,2
1,conj_grid,2,10,7,1,0.115,0.269,2
1,conj_grid,2,11,8,1,0.232,0.229,2
1,conj_grid,2,9,9,1,0.69,0.154,2
1,conj_grid,2,4,10,1,0.315,0.006,2
1,conj_grid,2,5,11,1,0.549,0.001,2
1,conj_grid,2,6,12,1,0.679,0.013,2
1,conj_grid,2,23,13,2,0.282,0.685,2
1,conj_grid,2,21,14,2,0.346,0.614,2
1,conj_grid,2,16,15,2,0,0.5,2
1,conj_grid,2,18,16,2,0.394,0.454,2
1,conj_grid,2,13,17,2,0.259,0.344,2
1,conj_grid,2,14,18,2,0.362,0.335,2
1,conj_grid,2,12,19,2,0.372,0.244,2
1,conj_grid,2,8,20,2,0.148,0.112,2
1,conj_grid,2,7,21,2,0.032,0.133,2
1,conj_grid,2,1,22,2,0.035,0.014,2
1,conj_grid,2,2,23,2,0.129,0.031,2
1,conj_grid,2,3,24,2,0.234,0,2
1,conj_grid,3,24,1,1,0.598,0.718,3
1,conj_grid,3,17,2,1,0.02,0.452,3
1,conj_grid,3,18,3,1,0.46,0.486,3
1,conj_grid,3,20,4,1,0.595,0.58,3
1,conj_grid,3,21,5,1,0.654,0.577,3
